=====S|100
f0:25:72:7d:88:f4,Purdue Guest Network,-81,41,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:88:fd,eduroam,-71,63,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:88:fb,Purdue Guest Network,-71,63,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:70:bd:44,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:88:f9,attwifi,-71,63,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:8a:c2,eduroam,-73,59,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:8a:c6,attwifi,-73,59,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:88:ff,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.34954834,0.40092468
90:84:0d:da:8d:d8,R57Station,-83,37,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:fc:50,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.34954834,0.40092468
00:18:f8:c9:99:96,helps,-88,26,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:7c:af,PAL3.0,-61,85,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:fc:52,eduroam,-70,66,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:70:bd:42,eduroam,-80,44,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:70:bd:46,attwifi,-82,39,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:70:bd:40,PAL3.0,-79,46,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:88:f2,eduroam,-80,44,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:fc:56,attwifi,-70,66,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:88:74,Purdue Guest Network,-84,35,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:8a:cf,PAL3.0,-62,83,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:8a:c0,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:70:bd:4f,PAL3.0,-82,39,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:88:f0,PAL3.0,-79,46,  TILE 0, ACC (xy) -0.34954834,0.40092468
00:25:9c:52:91:1d,Team14,-84,35,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:7c:a6,attwifi,-62,83,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:70:bd:49,attwifi,-79,46,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:19:0b,Purdue Guest Network,-88,26,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:19:09,attwifi,-86,30,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:19:06,attwifi,-84,35,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:19:04,Purdue Guest Network,-85,33,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:7c:a2,eduroam,-62,83,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:19:02,eduroam,-82,39,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:19:00,PAL3.0,-83,37,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:4f:30,PAL3.0,-84,35,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:ab:c0,PAL3.0,-84,35,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:19:f6,attwifi,-83,37,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:ab:c4,Purdue Guest Network,-84,35,  TILE 0, ACC (xy) -0.34954834,0.40092468
c4:04:15:22:df:c4,NETGEAR94,-86,30,  TILE 0, ACC (xy) -0.34954834,0.40092468
f0:25:72:7d:88:76,attwifi,-80,44,  TILE 0, ACC (xy) -0.34954834,0.40092468

--------------------
90:84:0d:da:8d:d7,R57Station,-69,68,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:fc:5d,eduroam,-68,70,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:fc:54,Purdue Guest Network,-73,59,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:fc:5f,PAL3.0,-68,70,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:fc:5b,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:fc:59,attwifi,-69,68,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:8a:cd,eduroam,-62,83,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:8a:c9,attwifi,-61,85,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:8a:cb,Purdue Guest Network,-61,85,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:7c:a4,Purdue Guest Network,-63,81,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:7c:ad,eduroam,-67,72,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:7c:ab,Purdue Guest Network,-66,74,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:7c:a9,attwifi,-66,74,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:8a:c4,Purdue Guest Network,-68,70,  TILE 0, ACC (xy) -0.3447876,0.26524353
b4:18:d1:e0:33:de,team7,-89,24,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:70:bd:4d,eduroam,-76,52,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:70:bd:4b,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:f6,attwifi,-77,50,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:f4,Purdue Guest Network,-78,48,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:fd,eduroam,-73,59,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:fb,Purdue Guest Network,-73,59,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:70:bd:44,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:f9,attwifi,-74,57,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:8a:c6,attwifi,-68,70,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:ff,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.3447876,0.26524353
90:84:0d:da:8d:d8,R57Station,-84,35,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:fc:50,PAL3.0,-72,61,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:7c:af,PAL3.0,-66,74,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:fc:52,eduroam,-72,61,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:70:bd:46,attwifi,-82,39,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:f2,eduroam,-78,48,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:fc:56,attwifi,-72,61,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:74,Purdue Guest Network,-81,41,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:8a:cf,PAL3.0,-62,83,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:70:bd:4f,PAL3.0,-76,52,  TILE 0, ACC (xy) -0.3447876,0.26524353
00:25:9c:52:91:1d,Team14,-86,30,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:7c:a6,attwifi,-62,83,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:70:bd:49,attwifi,-76,52,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:19:0b,Purdue Guest Network,-88,26,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:19:04,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:7c:a2,eduroam,-62,83,  TILE 0, ACC (xy) -0.3447876,0.26524353
c4:04:15:22:df:c4,NETGEAR94,-86,30,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:76,attwifi,-80,44,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:19:fd,eduroam,-84,35,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:88:70,PAL3.0,-81,41,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:19:fb,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.3447876,0.26524353
f0:25:72:7d:19:f9,attwifi,-85,33,  TILE 0, ACC (xy) -0.3447876,0.26524353

--------------------
90:84:0d:da:8d:d7,R57Station,-68,70,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:fc:5d,eduroam,-69,68,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:fc:54,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:fc:5f,PAL3.0,-69,68,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:fc:5b,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:fc:59,attwifi,-70,66,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:8a:cd,eduroam,-64,79,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:8a:c9,attwifi,-64,79,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:8a:cb,Purdue Guest Network,-65,77,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:7c:a4,Purdue Guest Network,-63,81,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:7c:ad,eduroam,-60,88,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:7c:ab,Purdue Guest Network,-60,88,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:7c:a9,attwifi,-60,88,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:8a:c4,Purdue Guest Network,-70,66,  TILE 0, ACC (xy) -0.20910645,0.28666687
b4:18:d1:e0:33:de,team7,-88,26,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:70:bd:4d,eduroam,-76,52,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:70:bd:4b,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:f6,attwifi,-76,52,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:f4,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:fd,eduroam,-70,66,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:fb,Purdue Guest Network,-70,66,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:70:bd:44,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:f9,attwifi,-70,66,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:8a:c6,attwifi,-68,70,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:ff,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.20910645,0.28666687
90:84:0d:da:8d:d8,R57Station,-85,33,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:fc:50,PAL3.0,-72,61,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:7c:af,PAL3.0,-59,90,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:fc:52,eduroam,-73,59,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:70:bd:46,attwifi,-82,39,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:f2,eduroam,-75,55,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:fc:56,attwifi,-73,59,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:74,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:8a:cf,PAL3.0,-65,77,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:70:bd:4f,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.20910645,0.28666687
00:25:9c:52:91:1d,Team14,-89,24,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:7c:a6,attwifi,-63,81,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:70:bd:49,attwifi,-77,50,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:19:0b,Purdue Guest Network,-88,26,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:19:04,Purdue Guest Network,-85,33,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:7c:a2,eduroam,-62,83,  TILE 0, ACC (xy) -0.20910645,0.28666687
c4:04:15:22:df:c4,NETGEAR94,-86,30,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:76,attwifi,-80,44,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:19:fd,eduroam,-84,35,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:70,PAL3.0,-81,41,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:19:fb,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:19:f9,attwifi,-85,33,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:8a:c0,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:88:f0,PAL3.0,-76,52,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:70:bd:42,eduroam,-84,35,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:19:f6,attwifi,-82,39,  TILE 0, ACC (xy) -0.20910645,0.28666687
f0:25:72:7d:19:06,attwifi,-83,37,  TILE 0, ACC (xy) -0.20910645,0.28666687

--------------------
90:84:0d:da:8d:d7,R57Station,-77,50,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:fc:5d,eduroam,-70,66,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:fc:54,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:fc:5f,PAL3.0,-70,66,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:fc:5b,Purdue Guest Network,-70,66,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:fc:59,attwifi,-70,66,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:8a:cd,eduroam,-69,68,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:8a:c9,attwifi,-69,68,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:8a:cb,Purdue Guest Network,-69,68,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:7c:a4,Purdue Guest Network,-64,79,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:7c:ad,eduroam,-59,90,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:7c:ab,Purdue Guest Network,-58,92,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:7c:a9,attwifi,-59,90,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:8a:c4,Purdue Guest Network,-71,63,  TILE 0, ACC (xy) -0.04248047,0.13908386
b4:18:d1:e0:33:de,team7,-84,35,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:70:bd:4d,eduroam,-75,55,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:70:bd:4b,Purdue Guest Network,-75,55,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:f6,attwifi,-74,57,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:f4,Purdue Guest Network,-74,57,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:fd,eduroam,-77,50,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:fb,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:70:bd:44,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:f9,attwifi,-77,50,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:8a:c6,attwifi,-68,70,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:ff,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.04248047,0.13908386
90:84:0d:da:8d:d8,R57Station,-88,26,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:fc:50,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:7c:af,PAL3.0,-59,90,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:fc:52,eduroam,-72,61,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:70:bd:46,attwifi,-82,39,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:f2,eduroam,-74,57,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:fc:56,attwifi,-73,59,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:74,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:8a:cf,PAL3.0,-65,77,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:70:bd:4f,PAL3.0,-75,55,  TILE 0, ACC (xy) -0.04248047,0.13908386
00:25:9c:52:91:1d,Team14,-89,24,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:7c:a6,attwifi,-63,81,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:70:bd:49,attwifi,-75,55,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:19:0b,Purdue Guest Network,-88,26,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:19:04,Purdue Guest Network,-85,33,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:7c:a2,eduroam,-64,79,  TILE 0, ACC (xy) -0.04248047,0.13908386
c4:04:15:22:df:c4,NETGEAR94,-87,28,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:76,attwifi,-80,44,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:19:fd,eduroam,-84,35,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:70,PAL3.0,-81,41,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:19:fb,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:19:f9,attwifi,-85,33,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:8a:c0,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:f0,PAL3.0,-74,57,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:70:bd:42,eduroam,-84,35,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:19:f6,attwifi,-82,39,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:19:06,attwifi,-83,37,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:7c:a0,PAL3.0,-64,79,  TILE 0, ACC (xy) -0.04248047,0.13908386
f0:25:72:7d:88:72,eduroam,-84,35,  TILE 0, ACC (xy) -0.04248047,0.13908386

--------------------
90:84:0d:da:8d:d7,R57Station,-72,61,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:fc:5d,eduroam,-71,63,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:fc:54,Purdue Guest Network,-73,59,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:fc:5f,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:fc:5b,Purdue Guest Network,-71,63,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:fc:59,attwifi,-71,63,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:8a:cd,eduroam,-66,74,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:8a:c9,attwifi,-66,74,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:8a:cb,Purdue Guest Network,-66,74,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:7c:a4,Purdue Guest Network,-65,77,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:7c:ad,eduroam,-62,83,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:7c:ab,Purdue Guest Network,-63,81,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:7c:a9,attwifi,-63,81,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:8a:c4,Purdue Guest Network,-71,63,  TILE 0, ACC (xy) -0.054382324,0.14146423
b4:18:d1:e0:33:de,team7,-83,37,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:70:bd:4d,eduroam,-76,52,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:70:bd:4b,Purdue Guest Network,-76,52,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:f6,attwifi,-73,59,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:f4,Purdue Guest Network,-72,61,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:fd,eduroam,-77,50,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:fb,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:70:bd:44,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:f9,attwifi,-77,50,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:8a:c6,attwifi,-68,70,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:ff,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.054382324,0.14146423
90:84:0d:da:8d:d8,R57Station,-88,26,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:fc:50,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:7c:af,PAL3.0,-63,81,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:fc:52,eduroam,-71,63,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:70:bd:46,attwifi,-82,39,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:f2,eduroam,-73,59,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:fc:56,attwifi,-73,59,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:74,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:8a:cf,PAL3.0,-66,74,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:70:bd:4f,PAL3.0,-76,52,  TILE 0, ACC (xy) -0.054382324,0.14146423
00:25:9c:52:91:1d,Team14,-85,33,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:7c:a6,attwifi,-65,77,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:70:bd:49,attwifi,-76,52,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:19:0b,Purdue Guest Network,-88,26,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:19:04,Purdue Guest Network,-84,35,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:7c:a2,eduroam,-64,79,  TILE 0, ACC (xy) -0.054382324,0.14146423
c4:04:15:22:df:c4,NETGEAR94,-87,28,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:76,attwifi,-80,44,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:19:fd,eduroam,-84,35,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:70,PAL3.0,-81,41,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:19:fb,Purdue Guest Network,-83,37,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:19:f9,attwifi,-85,33,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:8a:c0,PAL3.0,-71,63,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:f0,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:70:bd:42,eduroam,-84,35,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:19:f6,attwifi,-82,39,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:19:06,attwifi,-85,33,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:7c:a0,PAL3.0,-64,79,  TILE 0, ACC (xy) -0.054382324,0.14146423
f0:25:72:7d:88:72,eduroam,-84,35,  TILE 0, ACC (xy) -0.054382324,0.14146423

=====S|100
90:84:0d:da:8d:d7,R57Station,-74,57,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:fc:5d,eduroam,-75,55,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:fc:54,Purdue Guest Network,-77,50,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:fc:5f,PAL3.0,-75,55,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:fc:5b,Purdue Guest Network,-75,55,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:fc:59,attwifi,-75,55,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:8a:cd,eduroam,-60,88,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:8a:c9,attwifi,-60,88,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:8a:cb,Purdue Guest Network,-60,88,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:7c:a4,Purdue Guest Network,-64,79,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:7c:ad,eduroam,-60,88,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:7c:ab,Purdue Guest Network,-60,88,  TILE 0, ACC (xy) 0.30029297,0.6556244
f0:25:72:7d:7c:a9,attwifi,-59,90,  TILE 0, ACC (xy) 0.30029297,0.6556244
